/*--------------------------------*- C++ -*----------------------------------*\
| =========                 |                                                 |
| \\      /  F ield         | OpenFOAM: The Open Source CFD Toolbox           |
|  \\    /   O peration     | Version:  2312                                  |
|   \\  /    A nd           | Website:  www.openfoam.com                      |
|    \\/     M anipulation  |                                                 |
\*---------------------------------------------------------------------------*/
FoamFile
{
    version     2.0;
    format      ascii;
    arch        "LSB;label=32;scalar=64";
    class       vectorField;
    location    "constant";
    object      positions.dat;
}
// * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * //

(
(-2.20564 0.18059 -0.115312)
(-2.20564 0.186214 -0.120938)
(-2.20564 0.19184 -0.120938)
(-2.20564 0.186214 -0.115312)
(-2.20564 0.19184 -0.115312)
(-2.20564 0.197465 -0.132188)
(-2.20564 0.203089 -0.132188)
(-2.20564 0.197465 -0.126562)
(-2.20564 0.203089 -0.126562)
(-2.20564 0.208715 -0.132188)
(-2.20564 0.21434 -0.132188)
(-2.20564 0.208715 -0.126562)
(-2.20564 0.21434 -0.126562)
(-2.20564 0.197465 -0.120938)
(-2.20564 0.203089 -0.120938)
(-2.20564 0.197465 -0.115312)
(-2.20564 0.203089 -0.115312)
(-2.20564 0.208715 -0.120938)
(-2.20564 0.21434 -0.120938)
(-2.20564 0.208715 -0.115312)
(-2.20564 0.21434 -0.115312)
(-2.20564 0.174965 -0.109687)
(-2.20564 0.18059 -0.109687)
(-2.20564 0.174965 -0.104063)
(-2.20564 0.18059 -0.104063)
(-2.20564 0.186214 -0.109687)
(-2.20564 0.19184 -0.109687)
(-2.20564 0.186214 -0.104063)
(-2.20564 0.19184 -0.104063)
(-2.20564 0.174965 -0.0984375)
(-2.20564 0.18059 -0.0984375)
(-2.20564 0.174965 -0.0928125)
(-2.20564 0.18059 -0.0928125)
(-2.20564 0.186214 -0.0984375)
(-2.20564 0.19184 -0.0984375)
(-2.20564 0.186214 -0.0928125)
(-2.20564 0.19184 -0.0928125)
(-2.20564 0.197465 -0.109687)
(-2.20564 0.203089 -0.109687)
(-2.20564 0.197465 -0.104063)
(-2.20564 0.203089 -0.104063)
(-2.20564 0.208715 -0.109687)
(-2.20564 0.21434 -0.109687)
(-2.20564 0.208715 -0.104063)
(-2.20564 0.21434 -0.104063)
(-2.20564 0.197465 -0.0984375)
(-2.20564 0.203089 -0.0984375)
